8747 "02.01.2018 07:00";"-3.3";"732.1";"756.7";"0.0";"98";"Wind blowing from the north-northeast";"1";"";"";"90  or more, but not 100%";"Fog, depositing rime, sky visible. ";"Fog or ice fog or thick haze.";"Fog or ice fog or thick haze.";"-3.3";"4.1";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"10%  or less, but not 0";"2500 or more, or no clouds.";"Altocumulus translucidus at a single level.";"Cirrostratus not progressively invading the sky and not entirely covering it.";"0.8";"-3.6";"No precipitation";"12";"Surface of ground frozen.";"-4.0";"";"";
8746 "02.01.2018 08:00";"-3.3";"732.1";"756.7";"0.2";"98";"Calm, no wind";"0";"";"";"90  or more, but not 100%";"Fog, depositing rime, sky visible. ";"Fog or ice fog or thick haze.";"Fog or ice fog or thick haze.";"";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrostratus not progressively invading the sky and not entirely covering it.";"0.8";"-3.6";"";"";"";"";"";"";
8745 "02.01.2018 09:00";"-1.9";"732.4";"756.9";"0.3";"97";"Calm, no wind";"0";"";"";"90  or more, but not 100%";"Fog or ice fog. ";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrostratus not progressively invading the sky and not entirely covering it.";"1.2";"-2.3";"";"";"";"";"";"";
8744 "02.01.2018 10:00";"0.3";"732.6";"756.9";"0.5";"97";"Calm, no wind";"0";"";"";"90  or more, but not 100%";"Mist. ";"Fog or ice fog or thick haze.";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrostratus not progressively invading the sky and not entirely covering it.";"2.0";"-0.1";"";"";"";"";"";"";
8743 "02.01.2018 11:00";"2.9";"732.4";"756.4";"0.3";"94";"Wind blowing from the south-southeast";"2";"";"";"90  or more, but not 100%";"Mist. ";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"10%  or less, but not 0";"2500 or more, or no clouds.";"Altocumulus translucidus at a single level.";"Cirrostratus not progressively invading the sky and not entirely covering it.";"4.0";"2.0";"";"";"";"";"";"";
8742 "02.01.2018 12:00";"3.7";"732.4";"756.4";"0.0";"88";"Wind blowing from the south";"2";"";"";"90  or more, but not 100%";"Mist. ";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"10%  or less, but not 0";"2500 or more, or no clouds.";"Patches (often lenticular) of Altocumulus translucidus, continually changing and occurring at one or more levels.";"Cirrostratus not progressively invading the sky and not entirely covering it.";"8.0";"1.9";"";"";"";"";"";"";
8741 "02.01.2018 13:00";"3.1";"732.2";"756.2";"-0.4";"89";"Wind blowing from the south-southeast";"2";"";"";"90  or more, but not 100%";"Mist. ";"Fog or ice fog or thick haze.";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"10%  or less, but not 0";"2500 or more, or no clouds.";"Patches (often lenticular) of Altocumulus translucidus, continually changing and occurring at one or more levels.";"Cirrostratus not progressively invading the sky and not entirely covering it.";"8.0";"1.5";"No precipitation";"6";"";"";"";"";
8740 "02.01.2018 14:00";"3.9";"732.1";"756.0";"-0.3";"85";"Wind blowing from the south-southeast";"1";"";"";"90  or more, but not 100%";"Mist. ";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrostratus not progressively invading the sky and not entirely covering it.";"9.0";"1.6";"";"";"";"";"";"";
8739 "02.01.2018 15:00";"2.5";"732.3";"756.4";"-0.1";"88";"Wind blowing from the south";"2";"";"";"90  or more, but not 100%";"Mist. ";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"50%.";"2500 or more, or no clouds.";"Altocumulus translucidus in bands, or one or more layers of Altocumulus translucidus or opacus, progressively invading the sky; these Altocumulus clouds generally thicken as a whole.";"Cirrostratus not progressively invading the sky and not entirely covering it.";"6.0";"0.7";"";"";"";"";"";"";
8738 "02.01.2018 16:00";"1.6";"732.7";"756.9";"0.5";"92";"Wind blowing from the south-southeast";"1";"";"";"100%.";"Mist. ";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"40%.";"600-1000";"Altocumulus translucidus or opacus in two or more layers, or Altocumulus opacus in a single layer, not progressively invading the sky, or Altocumulus with Altostratus or Nimbostratus.";"";"4.0";"0.4";"";"";"";"";"";"";
